BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
40,43.3363,10.0013,5.32843,454471680,2117218554,2117218554,2.30E-05,2.33E-05,7.28558, -nan
41,40.8914,10.7494,5.4575,460912640,2163811570,2163811570,2.80E-05,2.34E-05,7.34171, -nan
42,39.8849,11.1444,5.58976,466083840,2207806496,2207806496,2.20E-05,2.34E-05,7.40652, -nan
43,39.0708,11.5348,5.72487,472565760,2253046593,2253046593,2.00E-05,2.33E-05,7.46755, -nan
44,40.075,11.4161,5.85134,479723520,2297013779,2297013779,2.90E-05,2.34E-05,7.53346, -nan
45,40.3092,11.5741,5.97575,489205760,2335735378,2335735378,2.20E-05,2.34E-05,7.61801, -nan
46,41.9037,11.3572,6.09025,499025920,2376018588,2376018588,2.40E-05,2.34E-05,7.69888, -nan
47,44.6751,10.7943,6.18825,505661440,2411097188,2411097188,2.10E-05,2.34E-05,7.79659, -nan
48,48.7757,10.0466,6.26699,513832960,2438575914,2438575914,3.70E-05,2.36E-05,7.91945, -nan
49,53.3901,10.5388,6.35243,589998080,2491759826,2491759826,2.30E-05,2.36E-05,7.9872, -nan
50,50.619,13.435,6.4913,713103360,2689909833,2689909833,2.80E-05,2.37E-05,7.66393, -nan
51,65.41,10.5308,6.56898,722278400,2760715818,2760715818,2.70E-05,2.38E-05,7.729, -nan
52,68.0515,10.9272,6.65122,779735040,2840703150,2840703150,2.30E-05,2.38E-05,7.78585, -nan
53,69.6398,11.2025,6.7355,818032640,2910564208,2910564208,2.20E-05,2.37E-05,7.88003, -nan
54,69.0417,11.3965,6.82024,825057280,2981362371,2981362371,2.40E-05,2.37E-05,7.96964, -nan
55,65.9779,12.0601,6.91381,834355200,3052044314,3052044314,2.10E-05,2.37E-05,8.05845, -nan
56,64.9775,12.2691,7.00777,835942400,3120894815,3120894815,2.50E-05,2.37E-05,8.14852, -nan
